iter	Accuracy	Logloss
215	0.7527030809	0.515179777
216	0.7532815318	0.5142811605
217	0.7537579406	0.5137870528
218	0.7541515312	0.513455653
219	0.754798223	0.5129024084
220	0.7553521653	0.5123018436
221	0.7560233656	0.5117433494
222	0.756830409	0.5111708881
223	0.7570298468	0.5110231094
224	0.7571027339	0.510759882
225	0.7572485082	0.5103895089
226	0.7575400568	0.5101101696
227	0.7577050548	0.5097135581
228	0.758078783	0.5092980751
229	0.7587890694	0.5087946355
230	0.7592502622	0.5085531181
231	0.7595610345	0.5083971351
232	0.7600327971	0.5079497151
233	0.7601109691	0.5075751514
234	0.7607213053	0.5070872859
235	0.7607848999	0.5068579454
236	0.7606304717	0.5066907132
237	0.7616270217	0.5060465463
238	0.7621949029	0.5055681547
239	0.7623313846	0.5052888979
240	0.7624830824	0.5048862248
241	0.7628428718	0.5045403097
242	0.7632258926	0.5043221375
243	0.7639209629	0.5038967731
244	0.7640766684	0.5035338093
245	0.7641349781	0.5032403461
246	0.7648830732	0.5028104225
247	0.7654661704	0.5024059764
248	0.7656510307	0.5020525007
249	0.7658060975	0.5019492493
250	0.7660101815	0.5016062129
251	0.7660784224	0.5012103313
252	0.7663408161	0.5008242372
253	0.7663845484	0.5006806107
254	0.7670855422	0.5000551854
255	0.7670954734	0.4998210484
256	0.7675991213	0.4995782651
257	0.7679489796	0.4989299419
258	0.7688282716	0.4982824107
259	0.7696644699	0.4974880396
260	0.7697665119	0.4972837144
261	0.7701939036	0.496949733
262	0.7703012305	0.4965007051
263	0.7704324274	0.4960842613
264	0.7705881328	0.4958281621
265	0.7707193297	0.4956371675
266	0.7708598191	0.495428067
267	0.7712196085	0.4950758689
268	0.7715158034	0.4947817041
269	0.7715787594	0.4945477392
270	0.7721327017	0.4940792128
271	0.7726429117	0.4933592257
272	0.7730755883	0.4930044741
273	0.7739250868	0.492465528
274	0.7739787502	0.4921106243
275	0.7744551591	0.4917469801
276	0.7743630483	0.4912093489
277	0.7744465052	0.4907371456
278	0.7751952389	0.4901257804
279	0.7753847455	0.4899578836
280	0.7755696058	0.4897302153
281	0.7758996018	0.4893937566
282	0.7760162212	0.4892194309
283	0.7763515021	0.4888659323
284	0.7765456549	0.4886797532
285	0.7765847409	0.4883119777
286	0.7765462935	0.4881288129
287	0.776843127	0.4877866805
288	0.7772950273	0.487274484
289	0.7776541781	0.4869055207
290	0.7780716387	0.4867615933
291	0.7782273441	0.4864539394
292	0.7781498107	0.4861358765
293	0.7785719175	0.4858327124
294	0.7788681124	0.4853856284
295	0.7790039555	0.4852135228
296	0.7791205749	0.4849129404
297	0.7794465633	0.484478294
298	0.779606915	0.484165927
299	0.7798302227	0.4839911627
300	0.7800826852	0.4837680381
301	0.7802880465	0.483236425
302	0.7803178399	0.4829280456
303	0.7805703025	0.4826210355
304	0.7807505165	0.4822191337
305	0.7808962908	0.481990435
306	0.7810811511	0.4816793001
307	0.7811977705	0.4814624929
308	0.7816059385	0.4811198118
309	0.7818974871	0.4807278729
310	0.7820869937	0.4805533666
311	0.7823931197	0.4798083921
312	0.7824076971	0.4796476265
313	0.7824176283	0.4793655477
314	0.7827966414	0.47921012
315	0.7830146642	0.4789530749
316	0.7832333257	0.478767588
317	0.7834566334	0.4784836343
318	0.7838402928	0.4783115587
319	0.7838986025	0.4781885573
320	0.784282262	0.4777739737
321	0.7843505028	0.4776613635
322	0.7843703651	0.4773965276
323	0.784744732	0.4770614361
324	0.7849348772	0.4767302611
